"POOL_ADDRESS","POOL_NAME","TOTALVALUELOCKEDUSD","TOKEN0_ADDRESS","TOKEN1_ADDRESS","TOKEN0_SYMBOL","TOKEN1_SYMBOL"
"0x87986ae1e99f99da1f955d16930dc8914ffbed56","Uniswap V3 Dai Stablecoin/HOPR Token 0.3%",2779044,"0x6b175474e89094c44da98b954eedeac495271d0f","0xf5581dfefd8fb0e4aec526be659cfab1f8c781da","DAI","HOPR"
"0xc1b4d6d7aa12d5ee8f9d9a13b5baf035ca5c2790","Uniswap V3 Hashflow/Tether USD 1%",2697325,"0xb3999f658c0391d94a37f7ff328f3fec942bcadc","0xdac17f958d2ee523a2206206994597c13d831ec7","HFT","USDT"
"0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f","Uniswap V3 ETH 2x Flexible Leverage Index/Wrapped Ether 0.3%",2647746,"0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","ETH2x-FLI","WETH"
"0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5","Uniswap V3 HEX/USD Coin 0.3%",2604639,"0x2b591e99afe9f32eaa6214f7b7629768c40eeb39","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","HEX","USDC"
"0x92560c178ce069cc014138ed3c2f5221ba71f58a","Uniswap V3 Wrapped Ether/Ethereum Name Service 0.3%",2597707,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xc18360217d8f7ab5e7c516566761ea12ce7f9d72","WETH","ENS"
"0xa80838d2bb3d6ebaed1978fa23b38f91775d8378","Uniswap V3 ZeroLiquid/Wrapped Ether 1%",2585802,"0xb0ed33f79d89541dfdcb04a8f04bc2c6be025ecc","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","ZERO","WETH"
"0xe936f0073549ad8b1fa53583600d629ba9375161","Uniswap V3 Render Token/Wrapped Ether 1%",2546845,"0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","RNDR","WETH"
"0x531b6a4b3f962208ea8ed5268c642c84bb29be0b","Uniswap V3 Golem Network Token/Wrapped Ether 1%",2449277,"0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","GLM","WETH"
"0x824a30f2984f9013f2c8d0a29c0a3cc5fd5c0673","Uniswap V3 Blur/Wrapped Ether 0.3%",2444110,"0x5283d291dbcf85356a21ba090e6db59121208b44","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","BLUR","WETH"
"0x666ed8c2151f00e7e58b4d941f65a9df68d2245b","Uniswap V3 WoofWork.io/Wrapped Ether 1%",2412546,"0x6bc08509b36a98e829dffad49fde5e412645d0a3","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WOOF","WETH"
"0x24ee2c6b9597f035088cda8575e9d5e15a84b9df","Uniswap V3 Quant/Wrapped Ether 0.3%",2391875,"0x4a220e6096b25eadb88358cb44068a3248254675","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","QNT","WETH"
"0x930b2c8ff1de619d4d6594da0ba03fdeda09a672","Uniswap V3 NFTX/Wrapped Ether 1%",2347916,"0x87d73e916d7057945c9bcd8cdd94e42a6f47f776","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","NFTX","WETH"
"0x8a15b2dc9c4f295dcebb0e7887dd25980088fdcb","Uniswap V3 Frax Ether/Wrapped Ether 0.05%",2342013,"0x5e8422345238f34275888049021821e8e08caa1f","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","frxETH","WETH"
"0xdce93ed9ae7c53143e19cf799d156b72d1cc2777","Uniswap V3 Ben/Wrapped Ether 0.3%",2325297,"0x9bf1d7d63dd7a4ce167cf4866388226eeefa702e","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","BEN","WETH"
"0x959c7d5706ac0b5a29f506a1019ba7f2a1c70c70","Uniswap V3 Shina Inu/Wrapped Ether 0.3%",2246121,"0x243cacb4d5ff6814ad668c3e225246efa886ad5a","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","SHI","WETH"
"0x6279653c28f138c8b31b8a0f6f8cd2c58e8c1705","Uniswap V3 XSGD/USD Coin 0.05%",2225680,"0x70e8de73ce538da2beed35d14187f6959a8eca96","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","XSGD","USDC"
"0x7731ca4d00800b6a681d031f565deb355c5b77da","Uniswap V3 The Doge NFT/Wrapped Ether 1%",2119971,"0xbaac2b4491727d78d2b78815144570b9f2fe8899","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","DOG","WETH"
"0x129360c964e2e13910d603043f6287e5e9383374","Uniswap V3 Origin Dollar/Tether USD 0.05%",2004615,"0x2a8e1e676ec238d8a992307b495b45b3feaa5e86","0xdac17f958d2ee523a2206206994597c13d831ec7","OUSD","USDT"
"0xa9166690c35d900a57d2ec132c58291bc0678944","Uniswap V3 TenX Community JAPAN/Wrapped Ether 0.3%",1988590,"0x961dd84059505d59f82ce4fb87d3c09bec65301d","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","TXJP","WETH"
"0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406","Uniswap V3 Dai Stablecoin/Tether USD 0.01%",1985239,"0x6b175474e89094c44da98b954eedeac495271d0f","0xdac17f958d2ee523a2206206994597c13d831ec7","DAI","USDT"
"0x12026ac556cd535149e47c0ad9846fb7970ec455","Uniswap V3 Cream ETH Token/Wrapped Ether 1%",1970964,"0x49d72e3973900a195a155a46441f0c08179fdb64","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","CRETH2","WETH"
"0x36c060cc4b088c830a561e959a679a58205d3f56","Uniswap V3 Frax Ether/Frax 1%",1915604,"0x5e8422345238f34275888049021821e8e08caa1f","0x853d955acef822db058eb8505911ed77f175b99e","frxETH","FRAX"
