project,network,url
morpho,ethereum,https://api.thegraph.com/subgraphs/name/messari/morpho-compound-ethereum
morpho,ethereum,https://api.thegraph.com/subgraphs/name/morpho-labs/morpho-aavev2-mainnet
morpho,ethereum,https://api.thegraph.com/subgraphs/name/morpho-labs/morphocompoundmainnet
multichain,arbitrum,https://api.thegraph.com/subgraphs/name/messari/multichain-arbitrum
multichain,avalanche,https://api.thegraph.com/subgraphs/name/messari/multichain-avalanche
multichain,bsc,https://api.thegraph.com/subgraphs/name/messari/multichain-bsc
multichain,celo,https://api.thegraph.com/subgraphs/name/messari/multichain-celo
multichain,ethereum,https://api.thegraph.com/subgraphs/name/messari/multichain-ethereum
multichain,fantom,https://api.thegraph.com/subgraphs/name/messari/multichain-fantom
multichain,gnosis,https://api.thegraph.com/subgraphs/name/messari/multichain-gnosis
multichain,optimism,https://api.thegraph.com/subgraphs/name/messari/multichain-optimism
multichain,polygon,https://api.thegraph.com/subgraphs/name/messari/multichain-polygon
mummy-finance,fantom,https://api.thegraph.com/subgraphs/name/messari/mummy-finance-fantom
mummy-finance,optimism,https://api.thegraph.com/subgraphs/name/messari/mummy-finance-optimism
mux-network,arbitrum,https://api.thegraph.com/subgraphs/name/messari/mux-protocol-arbitrum
mux-network,bsc,https://api.thegraph.com/subgraphs/name/messari/mux-protocol-bsc
mux-network,optimism,https://api.thegraph.com/subgraphs/name/messari/mux-protocol-optimism
mux-network,avalanche,https://api.thegraph.com/subgraphs/name/messari/mux-protocol-avalanche
mux-network,fantom,https://api.thegraph.com/subgraphs/name/messari/mux-protocol-fantom
notional,ethereum,https://api.thegraph.com/subgraphs/name/messari/notional-finance-ethereum
nouns,ethereum,https://api.thegraph.com/subgraphs/name/messari/nouns-governance
ooki,ethereum,https://api.thegraph.com/subgraphs/name/messari/ooki-governance
opensea,ethereum,https://api.thegraph.com/subgraphs/name/messari/opensea-v1-ethereum
opensea,ethereum,https://api.thegraph.com/subgraphs/name/messari/opensea-v2-ethereum
opensea,ethereum,https://api.thegraph.com/subgraphs/name/messari/opensea-seaport-ethereum
optimism,optimism,https://api.thegraph.com/subgraphs/name/messari/optimism-governance
optimism,ethereum,https://api.thegraph.com/subgraphs/name/messari/optimism-bridge-v2-ethereum
optimism,optimism,https://api.thegraph.com/subgraphs/name/messari/optimism-bridge-v2-optimism
opyn,ethereum,https://api.thegraph.com/subgraphs/name/messari/opyn-gamma-ethereum
opyn,avalanche,https://api.thegraph.com/subgraphs/name/messari/opyn-gamma-avalanche
opyn,arbitrum,https://api.thegraph.com/subgraphs/name/messari/opyn-gamma-arbitrum
opyn,polygon,https://api.thegraph.com/subgraphs/name/messari/opyn-gamma-polygon
opyn,ethereum,https://api.thegraph.com/subgraphs/name/opynfinance/squeeth
orbit,ethereum,https://api.thegraph.com/subgraphs/name/messari/orbit-bridge-ethereum
orbit,bsc,https://api.thegraph.com/subgraphs/name/messari/orbit-bridge-bsc
orbit,polygon,https://api.thegraph.com/subgraphs/name/messari/orbit-bridge-polygon
orbit,celo,https://api.thegraph.com/subgraphs/name/messari/orbit-bridge-celo
osmosis,osmosis,https://api.thegraph.com/subgraphs/name/messari/osmosis-dex-osmosis
ottopia,polygon,https://api.thegraph.com/subgraphs/name/otterclam/otterclam
ousd,ethereum,https://api.thegraph.com/subgraphs/name/messari/ousd-governance
pancakeswap,bsc,https://api.thegraph.com/subgraphs/name/messari/pancakeswap-v3-bsc
pancakeswap,ethereum,https://api.thegraph.com/subgraphs/name/messari/pancakeswap-v3-ethereum
pancakeswap,ethereum,https://api.thegraph.com/subgraphs/name/pancakeswap/exchange-v3-eth
pancakeswap,bsc,https://api.thegraph.com/subgraphs/name/pancakeswap/exchange-v3-bsc
pangolin,avalanche,https://api.thegraph.com/subgraphs/name/messari/pangolin-avalanche
pangolin,avalanche,https://api.thegraph.com/subgraphs/name/pangolindex/exchange
platypus,avalanche,https://api.thegraph.com/subgraphs/name/messari/platypus-finance-avalanche
platypus finance,avalanche,https://api.thegraph.com/subgraphs/name/platypus-finance/platypus-dashboard-staging
polygon,ethereum,https://api.thegraph.com/subgraphs/name/messari/polygon-bridge-ethereum
polygon,polygon,https://api.thegraph.com/subgraphs/name/messari/polygon-bridge-polygon
pooltogether,ethereum,https://api.thegraph.com/subgraphs/name/messari/pooltogether-governance
portal,ethereum,https://api.thegraph.com/subgraphs/name/messari/portal-ethereum
portal,fantom,https://api.thegraph.com/subgraphs/name/messari/portal-fantom
portal,bsc,https://api.thegraph.com/subgraphs/name/messari/portal-bsc
portal,polygon,https://api.thegraph.com/subgraphs/name/messari/portal-polygon
portal,avalanche,https://api.thegraph.com/subgraphs/name/messari/portal-avalanche
premia,arbitrum,https://api.thegraph.com/subgraphs/name/premiafinance/premia-arbitrum
premia,fantom,https://api.thegraph.com/subgraphs/name/premiafinance/premia-fantom
premia,optimism,https://api.thegraph.com/subgraphs/name/premiafinance/premia-optimism
premia,ethereum,https://api.thegraph.com/subgraphs/name/premiafinance/premiav2
qidao,arbitrum,https://api.thegraph.com/subgraphs/name/messari/qidao-arbitrum
qidao,avalanche,https://api.thegraph.com/subgraphs/name/messari/qidao-avalanche
qidao,bsc,https://api.thegraph.com/subgraphs/name/messari/qidao-bsc
qidao,ethereum,https://api.thegraph.com/subgraphs/name/messari/qidao-ethereum
qidao,fantom,https://api.thegraph.com/subgraphs/name/messari/qidao-fantom
qidao,polygon,https://api.thegraph.com/subgraphs/name/messari/qidao-polygon
qidao,moonriver,https://api.thegraph.com/subgraphs/name/messari/qidao-moonriver
qidao,optimism,https://api.thegraph.com/subgraphs/name/messari/qidao-optimism
qidao,gnosis,https://api.thegraph.com/subgraphs/name/messari/qidao-gnosis
qidao,harmony,https://api.thegraph.com/subgraphs/name/messari/qidao-harmony
quickswap,polygon,https://api.thegraph.com/subgraphs/name/messari/quickswap-polygon
quickswap,polygon,https://api.thegraph.com/subgraphs/name/sameepsi/quickswap06
radiant,arbitrum,https://api.thegraph.com/subgraphs/name/messari/radiant-arbitrum
radiant,arbitrum,https://api.thegraph.com/subgraphs/name/messari/radiant-capital-v2-arbitrum
radiant,bsc,https://api.thegraph.com/subgraphs/name/messari/radiant-capital-v2-bsc
radicle,ethereum,https://api.thegraph.com/subgraphs/name/messari/radicle-governance
rari-capital,arbitrum,https://api.thegraph.com/subgraphs/name/messari/rari-fuse-arbitrum
rari-capital,ethereum,https://api.thegraph.com/subgraphs/name/messari/rari-fuse-ethereum
rari-capital,ethereum,https://api.thegraph.com/subgraphs/name/messari/rari-vaults-ethereum
rarible,ethereum,https://api.thegraph.com/subgraphs/name/messari/rarible-governance
reflexer,ethereum,https://api.thegraph.com/subgraphs/name/messari/reflexer-governance
ribbon,ethereum,https://api.thegraph.com/subgraphs/name/messari/ribbon-finance-ethereum
ribbon,avalanche,https://api.thegraph.com/subgraphs/name/messari/ribbon-finance-avalanche
ribbon finance,avalanche,https://api.thegraph.com/subgraphs/name/ribbon-finance/ribbon-avax
ribbon finance,ethereum,https://api.thegraph.com/subgraphs/name/ribbon-finance/ribbon-v2
rocifi,polygon,https://api.thegraph.com/subgraphs/name/rocifi/rocifi-matic-lending-v2
